#,id,canonical_key,kind,condition_norm,then_norm,else_norm,has_else,occurrences,min_complexity,max_complexity,avg_complexity
11,11,4095ebf49ee87b830dca90a4b44d4b51e8469d933d84968b5f7717b9b0b23c0f,EVALUATE,EIBAID = DFHCLEAR,IF CA-MAKE-SELECTED = <S> MOVE <SPACE> TO CA-MODEL-SELECTED MOVE <SPACE> TO CA-MODEL-OUTPUT PERFORM 2100-SEND-MODEL-MAP ELSE MOVE <SPACE> TO CA-MAKE-SELECTED MOVE <SPACE> TO CA-MAKE-OUTPUT PERFORM 1100-SEND-MAKE-MAP END-IF,,FALSE,1,3,3,3
12,12,4fb82a783ca514123ba91eead8c8eb248d51c75e8a842d7c3c6de3b1e4a0b8a2,EVALUATE,OTHER,PERFORM LOG-FLAG-ERROR-PROCEDURE,,FALSE,1,1,1,1
13,13,16b6cec58de24804f68f959e273f995ac3e4a49c0333548dd425a137472a6c43,IF,ASCII-LETE,MOVE <N> TO CHAR-CODE,IF ASCII-LETF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKSL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-CRT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-UNDS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKTK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,20,20,20
14,14,a74ef07517bc3fad9915d654a6c6bb550746460c453bb308fd412181cd144f9f,IF,M-RANGE1,SET MGMT-IX TO <N>,IF M-RANGE2 SET MGMT-IX TO <N> ELSE IF M-RANGE3 SET MGMT-IX TO <N> ELSE IF M-RANGE4 SET MGMT-IX TO <N> ELSE SET MGMT-IX TO <N>,TRUE,3,1,1,1
15,15,e4ca0c3e97584a55da0be5781b4b9cc8aa79203c97d88ca75049b8927fc4759c,IF,RET-CODE = <N>,MOVE LOW-VALUE TO GAHPAGNA MOVE PAGEN TO GAHPAGNO EXEC_BLOCK_STUB PERFORM GET-ACCTS THRU GET-ACCTS-EXIT EXEC_BLOCK_STUB,,FALSE,1,2,2,2
16,16,9a57aaf87feec8156f7a8c5d3e275a4539ab96d51664eeaf97cb8f4ddcead024,EVALUATE,USER-SELECTION = <N>,GO TO 999-SELECTION2,,FALSE,1,1,1,1
17,17,0294ac8b8ec09b92e70d540d275fb951baddf69f4f5aa96108963dc5b3865e56,IF,XSTATUS2 = <S>,MOVE IN-CLAIM-TYPE TO OUT-CLAIM-TYPE MOVE <S> TO OUT-CLAIM-STATUS MOVE IN-CLAIM-DESC TO OUT-CLAIM-DESC MOVE IN-CLAIM-AMOUNT TO OUT-CLAIM-AMOUNT MOVE <S> TO OUT-MESSAGE,MOVE IN-CLAIM-TYPE TO OUT-CLAIM-TYPE MOVE <S> TO OUT-CLAIM-STATUS MOVE IN-CLAIM-DESC TO OUT-CLAIM-DESC MOVE IN-CLAIM-AMOUNT TO OUT-CLAIM-AMOUNT MOVE <S> TO OUT-MESSAGE,TRUE,1,3,3,3
18,18,60224a1f1776c45b5bfba3034acbab56b9c3abc6b219c6472fc07714a2d30133,IF,F1 = H1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
19,19,829af7da4bbc19d17ff1b7eea69f4a7bdc3ffc918b8b39cd2b5630b7f4382f03,IF,LB1 = Z1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
20,20,c0c595b9a6f4a8cbda4a0a51376aec07b0ac824221632c49be6cd0ca53ebc319,IF,RETURN-CODE NOT = NC-RET-OK,SET WS-SCREEN-TOO-SMALL TO TRUE,,FALSE,1,2,2,2
21,21,ddf0dbfab0e4c7a280a408e039962a431c76ac26890ca3a2e5309a681ca99a5b,IF,ED1 = Z1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
22,22,e3f46bcf38179ced750e1ea4f59ffd2ff66993fbe7d993eed995eb9bc2478158,IF,G3 = EB1,PERFORM G,PERFORM B,TRUE,6,1,1,1
23,23,111145c080c5561df8f3db20215fd09d23de7a77c1d38f0c718d13eb9f62d1ff,IF,LB3 = Z1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
24,24,87fcf19faaf36d695f5c9c15f1d5336899f957d819b77b93bbd175cbf2f35a66,EVALUATE,RETURN-CODE = NC-RET-OK,DISPLAY <S>,,FALSE,2,1,1,1
25,25,fad56d76ea48b53c15cf45cc8202ab6958ba879a01639f9c44aa92cad02b092a,IF,ED3 = ED1,PERFORM G,PERFORM B,TRUE,6,1,1,1
26,26,9fd82c3e86421baaf2a5dbff937c4df2b1a888d617d7ebe9156065212465a4dc,IF,LOOPCTRL NOT = <N>,GO TO RDPVLOOP,,FALSE,2,2,2,2
27,27,c2776f56b6795503e407b15cad7fcedf0f23738190064aa0ad83baa2e047aea2,EVALUATE,DAT-J = <N>,MOVE DAT-MOVE TO LMAIN-KEY,,FALSE,2,1,1,1
28,28,d796505a5a0147bd840639d06b6a4fc73b0ea2cda1be619082c928905e7e0a02,IF,STRING-POINTER >= <N>,MOVE <N> TO LOOP-STATE,IF NOT DONE THEN CALL <S> USING ASCII-CHARACTER,TRUE,1,1,1,1
29,29,8233ad23c3d9245603686260715364b1a0851bfbd3c7b94002a355c805f5eccc,IF,DD3 = Q1,PERFORM G,PERFORM B,TRUE,6,1,1,1
30,30,6089895141912075b096f2b62c410bf51c938669a3fafdef4ce17d683524d070,IF,H3 = DB1,PERFORM G,PERFORM B,TRUE,6,1,1,1
31,31,afc6914b86cbbb189a5aac03313e3d3c0c8cc9c7d90ce6d7f57f563037ec1fda,EVALUATE,OTHER,GO TO WBGSTMT-RECV-ERROR,,FALSE,1,1,1,1
32,32,9655cf4f7b38cc34edf9f9e3984338ed2fc4d6902996df5417352c0999537c21,EVALUATE,RESP-CODE = DFHRESP,GO TO WBGETBAL-SIGNAL-RECV,,FALSE,1,1,1,1
33,33,ab4bd23ae0beb6d07da226ddf5bb412e7d163540c3d64cfbc4950ba6d48ec486,IF,DB1 = Q1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
34,34,73650c44be48aaa3865d2b0e13be94a5aeb9deb4126c9306768989903d20d4dc,IF,LB3 = LD1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
35,35,ade303ae882a45b8d40906605f2926c7de9018d64c21265cb4b33cd7e7945260,IF,LB1 = F1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
36,36,bade7aae35434d759c650522d8805a273904f55052ee713ce7e2bfc134149e9b,EVALUATE,RESP-CODE = DFHRESP,EXEC_BLOCK_STUB MOVE <N> TO RET-CODE GO TO CHECK-CUST-SSN-EXIT,,FALSE,1,1,1,1
37,37,d9fb89bc502761b2c7fad35552b491f0aa2f42ef41aecec6675deb02e253ac26,IF,DD1 = Q1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
38,38,8d08d3381ea63a68ec856db06a1df06eb119a0581e6a95120cd2552b8e8e2b11,IF,L-LOG-TEXT = WS-LOG-ENABLED-SWITCH,SET WS-LOG-ENABLED TO TRUE,,FALSE,1,1,1,1
39,39,39a45541a0f2b030a01992f2131d6d7cb346f0fe368dc5e5df8bbeb078382acc,EVALUATE,RESP-CODE = DFHRESP,GO TO GET-CUST-SSN-NOTOPEN,,FALSE,7,1,1,1
40,40,f36294dd31a6aaa6a9982b497d708ecf04de9d108f08f0fdbafeaf800a40fb07,EVALUATE,OTHER,MOVE <ZERO> TO ACCTBALO,,FALSE,1,1,1,1
41,41,30fb3ec73307284f9d8add4a8d37b00b3f83cd90cbf05df8295a8f06f3510405,IF,WS-DATA-CMP-MATCHED,PERFORM 6100-PASSED,PERFORM 6100-FAILED,TRUE,2,1,1,1
42,42,e129fe7699036a3affcc3b074f4d83104da82c273a76ed8823ea708ea2e1b795,IF,LS-REMAINDER = <N>,MOVE <S> TO LS-RESULT,MOVE LS-INPUT TO LS-RESULT,TRUE,1,1,1,1
43,43,f5bc815ded272b4e3465dd51ef359556aae5fa1c809495017eb7e8aa64c8e2b8,IF,DH3 = P1,PERFORM G,PERFORM B,TRUE,6,1,1,1
44,44,cfe27ddfd94643da912f20989b6dc30654460fc8796f9e22a6715209fbaf0a33,IF,WS-EXPONENT NOT = <ZERO> OR WS-E-OFFSET NOT = <ZERO>,DISPLAY <S> ADD <N> TO WS-FAILED-COUNT,,FALSE,2,4,4,4
45,45,7c55983e8e4afa03b05b31e63837f26aa95c8a7785a46a3f8b827b0c258974dd,IF,H3 = ED1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
46,46,7f32afe0c68007508a6783d89182a8e93b110dc91d8acdc0d6d94697355c4578,EVALUATE,ACCOUNT-TYPE-CODE = <S>,MOVE ACCOUNT-SAV-DETAIL-ITEMS TO TXN-ITEM-NUM,,FALSE,1,1,1,1
47,47,af93f6e54ca46772524b30ea09c98fb99af2b57fca4d8d9be16df720de547fda,IF,ASCII-US,MOVE <N> TO CHAR-CODE,IF ASCII-SPC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-EXC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DBQT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PND THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DLR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PCNT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-AMP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SGQT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LPRN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RPRN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-STAR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PLUS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-COMA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DASH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DOT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SLSH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM0 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM1 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM2 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM3 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM4 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM5 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM6 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM7 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM8 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-NUM9 THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-COLN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-SCLN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LESS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-EQL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-GRTR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-QUES THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-AT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LETZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKSL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RSQB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-CRT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-UNDS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-BKTK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWA THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWC THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWD THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWF THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWG THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWH THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWI THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWJ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWK THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWL THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWM THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWN THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWO THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWP THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWQ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWR THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWS THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWT THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWU THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWV THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWW THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWX THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWY THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LOWZ THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-LCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-PIPE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-RCRB THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-TLDE THEN MOVE <N> TO CHAR-CODE ELSE IF ASCII-DEL THEN MOVE <N> TO CHAR-CODE ELSE MOVE COBOL-STRING TO CHAR-CODE,TRUE,1,33,33,33
48,48,00fb99072f32fcc644b91081582e02ef79e3c0066903eac775b89bc1770678d2,IF,RESP NOT = DFHRESP,EXEC_BLOCK_STUB,,FALSE,6,2,2,2
49,49,08bff2aae2e65f343c60e3a0f874707a54eb36637b9715be94d48bc340217c00,IF,DD3 = Q1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
50,50,cae2321f936ee098d5508fa6cbc079c1391c84d764908f1f0e9dafae1b1789af,IF,Q3 = H1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
51,51,907845dcbe2b4c18bda8695f6d6feac5f801e1487fc27a17276118848db35258,IF,DB3 = LB1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
52,52,adfa001f71468ea4b8382a05c19f096ee72d014aec21f0b525e0c1f9f9cf4725,IF,CLSELI NOT = <S> AND CLSELI NOT = <SPACE> AND CLSELL NOT = <N>,MOVE <N> TO RET-CODE GO TO VALIDATE-INPUT-EXIT,,FALSE,1,6,6,6
53,53,af4b5d6e6ddccc4cb06b723d151e4010c503f0d76485eb54dbaee9292d28383b,IF,DD3 = G1,PERFORM G,PERFORM B,TRUE,6,1,1,1
54,54,354f0cb820aad0f1634f339191eb053bd1658a1323331b11d4f39ff5bbe77423,IF,LH3 = P1,PERFORM G,PERFORM B,TRUE,6,1,1,1
55,55,a1173e293cfe87e8340d31999dbbe9004684d376b3ec77409e0b89c5fe1521e0,IF,URI-PREFIX = ZC AND URI-SUFFIX = <SPACE>,PERFORM 2200-START THRU 2200-EXIT,,FALSE,1,2,2,2
56,56,5d8249e4ab94cd5e25a38d393025a01706f96788631f04b62cb43db37a53f63b,IF,CLLOCNI = <SPACE>,MOVE LOW-VALUES TO NAME OF CUST-REC-KEY,MOVE CLLOCNI TO NAME OF CUST-REC-KEY,TRUE,1,1,1,1
57,57,626ba1f21a395fce34244638495c988dcaa223285255b1cc49d11734d08d5a1d,IF,RET-CODE = <N>,PERFORM ADD-CUST THRU ADD-CUST-EXIT,,FALSE,2,1,1,1
58,58,70eaba952bcea4e91fdf9b360367afb87507e2b1d2232c4c7170e1305718a9e4,IF,DD3 = P1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
59,59,1043f238861f6635e3e89278cef8cf222183e0bd20392e655c114f3a495fd93a,IF,H3 = EB1,PERFORM G,PERFORM B,TRUE,6,1,1,1
60,60,dd304da35126487e60c0641bfe264b881b3a6da3053d71e07ecca81283a4de69,EVALUATE,LS-LOG-OPERATION-FLAG = <S>,PERFORM LOG-CLOSE-PROCEDURE,,FALSE,1,1,1,1
61,61,f8c0b2a3d43e7a4e3324c907c164255853381b6e3c1e4e1667a111e91923eb1d,IF,WN-RTN-CODE = <ZERO>,MOVE WC-POST-VALUE TO WN-USER-USERTYPE-ID SET IS-VALID-INIT TO TRUE,,FALSE,1,1,1,1
62,62,cca2c3565f5ffc947a09e13f51c47e4f0814824dc2c5cc00c302f91f7acd2ea5,IF,COTISNB-FA900 < COTISNB-FN900,ADD <N> TO COTISNB-FA900 SUBTRACT <N> FROM COTISNB-FN900,,FALSE,1,1,1,1
63,63,9e6bc9e0b41a04d9053ffbf2510730617cd601b1ed4e493e58ed3ae4547ec7ce,EVALUATE,SQLSTATE = <SPACE>,DISPLAY <S>,,FALSE,2,1,1,1
64,64,4fdcf6740a00a6ca6f4b2e6a21304195465a85179bb4f30cab68260ee03c3ee6,IF,WS-BEACON = <S>,CONTINUE,PERFORM FILL-TABLES,TRUE,1,1,1,1
65,65,92e1d3281f3a9bcdc244b416b68b8ef174e0b426144c357932d4467d2a0ef284,IF,LH1 = Q1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
66,66,7b4f5e9d3131c86514d387ce8d7eca044a42361c26e42bdfb817901ca4c68791,IF,HEXCOUNT NOT = <N>,GO TO HEXQ4,,FALSE,1,2,2,2
67,67,9ef66b53de448265a6d334e3e09ede49d616ea3d53f06fe26116e1d6c7923a5b,IF,IDX-GAME-WINNER = <N>,DISPLAY <S> PLAYER3-NAME,DISPLAY <S> IDX-GAME-WINNER,TRUE,1,1,1,1
68,68,9b124c1dcfa2ecbbab55eca6388dc9dbdd0772ed5453765034f865e0c924bab6,IF,REWRITE-ERROR = <S>,DISPLAY MSG-REWRITE-ERROR,PERFORM UPDATE-MAX-PHONE-ID,TRUE,1,1,1,1
69,69,98c691ccebf1302296dabe9cf122a9e6df7cb4446f6f3b2d1951d9a6444ee5dc,IF,EIBRESP = DFHRESP,SUBTRACT ZF-PREFIX FROM ZF-LENGTH MOVE ZF-DATA TO CACHE-MESSAGE ADD ZF-LENGTH TO CACHE-ADDRESS-X ADD ONE TO ZF-SEGMENT ADD ZF-LENGTH TO CACHE-LENGTH,,FALSE,1,2,2,2
70,70,24fd04d2b06e9a62ae335369252fb70cba4c96ad18d352c40785739705b8f5c4,EVALUATE,WF-REQUEST-ID = <S>,MOVE CA-B-POSTCODE TO WF-B-POSTCODE MOVE CA-B-STATUS TO WF-B-STATUS MOVE CA-B-CUSTOMER TO WF-B-CUSTOMER,,FALSE,2,2,2,2
71,71,2b92ddd5687af262e27ef561d5bffac5fcaa1047821215eb82a223e6a545db69,IF,COMBAT-MBACOM NOT NUMERIC OR COMBAT-MBADEP NOT NUMERIC OR COMBAT-MBAREG NOT NUMERIC OR COMBAT-MBASYN NOT NUMERIC OR COMBAT-MBACU NOT NUMERIC OR COMBAT-MBAGE3 NOT NUMERIC OR COMBAT-MBATA3 NOT NUMERIC OR COMBAT-MBBT13 NOT NUMERIC OR COMBAT-MBBT13 NOT NUMERIC,MOVE <N> TO CR MOVE <N> TO RC,,FALSE,1,18,18,18
72,72,82e6780a7122b0f8f96b08cf5d0ce066b72f54deb4668f5280042b246f33bf0d,EVALUATE,WN-USER-TYPE-NUMBER = <N>,PERFORM B0410-GET-PUPIL-DATA,,FALSE,1,1,1,1
73,73,4c2612b6a6b78a792d1f11263f97479f7a40cf5d39f2d752534dae390bfbdde1,IF,G3 = DH1,PERFORM G,PERFORM B,TRUE,6,1,1,1
