#,id,end_line,kind,parse_mode,program_id,snippet,start_line
25,25,369,IF,FULL,928,"IF HOURLY
        DISPLAY 'HOURLY'
        PERFORM 2000-PROCESS-HOURLY
    ELSE
        IF SALES
            DISPLAY 'SALES'
            PERFORM 3000-PROCESS-SALES
        ELSE
            IF MANAGEMENT
                DISPLAY 'MANAGEMENT'
                PERFORM 4000-PROCESS-MANAGEMENT
            ELSE
               IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF
            END-IF
        END-IF
    END-IF",329
26,26,368,IF,FULL,928,"IF SALES
            DISPLAY 'SALES'
            PERFORM 3000-PROCESS-SALES
        ELSE
            IF MANAGEMENT
                DISPLAY 'MANAGEMENT'
                PERFORM 4000-PROCESS-MANAGEMENT
            ELSE
               IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF
            END-IF
        END-IF",333
27,84,371,IF,FULL,933,"IF SOUTH
            ADD 1 TO SOUTH-COUNT
            SET HOLD-IX TO SOUTH-COUNT
        ELSE
            IF EAST
                ADD 1 TO EAST-COUNT
                SET HOLD-IX TO EAST-COUNT
            ELSE
                IF WEST
                    ADD 1 TO WEST-COUNT
                    SET HOLD-IX TO WEST-COUNT
                ELSE
                    MOVE 'Y' TO REGION-ERROR-SW",359
28,125,54,IF,FULL,943,"IF HIRE-YY > RUN-YY
            COMPUTE YRS-OF-SERVICE = (100 + RUN-YY) - HIRE-YY
        ELSE
           COMPUTE YRS-OF-SERVICE = RUN-YY - HIRE-YY",51
29,27,367,IF,FULL,928,"IF MANAGEMENT
                DISPLAY 'MANAGEMENT'
                PERFORM 4000-PROCESS-MANAGEMENT
            ELSE
               IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF
            END-IF",337
30,28,366,IF,FULL,928,"IF DELETED
                   DISPLAY 'DELETED'
                   IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF
               ELSE
                   DISPLAY 'INVALID EMPLOYEE TYPE'  WA-EMP-TYPE
                   IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF
               END-IF",341
31,29,358,IF,FULL,928,"IF CURSOR-FETCHED
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
                   ELSE
                     DISPLAY 'DELETE WS-CURSOR-SWITCH= '
                     WS-CURSOR-SWITCH
                     IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF
                   DISPLAY 'ENDIF CURSOR FETCHED'
                   IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF",343
32,30,352,IF,FULL,928,"IF DELETED AND CURSOR-NOT-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
                   END-IF",350
33,31,358,IF,FULL,928,"IF SQLCODE NOT EQUAL TO 0
                      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                      DISPLAY 'ERROR ON DELETE - SQLCODE = '
                      WS-DISPLAY-SQLCODE
                   END-IF",354
34,32,365,IF,FULL,928,"IF RECORDS-READ NOT EQUAL TO ZERO
                      MOVE ' INVALID EMPLOYEE TYPE '
                         TO ERROR-LINE
                      WRITE REPORT-RECORD FROM ERROR-LINE
                  END-IF",361
35,33,381,IF,FULL,928,"IF CURSOR-OPEN OR CURSOR-FETCHED
DISPLAY ""EXEC_BLOCK_STUB""
         DISPLAY 'CLOSED CURSOR  WS-CURSOR-SWITCH= '
              WS-CURSOR-SWITCH
         MOVE 'C' TO WS-CURSOR-SWITCH
         IF SQLCODE NOT EQUAL TO 0
            MOVE SQLCODE TO WS-DISPLAY-SQLCODE
            DISPLAY 'ERROR ON CLOSE CURSOR - SQLCODE = '
            WS-DISPLAY-SQLCODE
         END-IF
     END-IF",371
36,34,380,IF,FULL,928,"IF SQLCODE NOT EQUAL TO 0
            MOVE SQLCODE TO WS-DISPLAY-SQLCODE
            DISPLAY 'ERROR ON CLOSE CURSOR - SQLCODE = '
            WS-DISPLAY-SQLCODE
         END-IF",376
37,35,392,IF,FULL,928,"IF WA-EMP-HOURS GREATER THAN 40
        COMPUTE EMP-WAGES = WA-EMP-RATE * 40
        COMPUTE OT-HOURS  = WA-EMP-HOURS - 40
        COMPUTE OT-AMOUNT = OT-HOURS * (WA-EMP-RATE * 1.5)
    ELSE
        COMPUTE EMP-WAGES = WA-EMP-HOURS * WA-EMP-RATE",387
38,36,412,IF,FULL,928,"IF WA-SALES-AMOUNT > 0
       ADD  WA-SALES-AMOUNT  TO REGION-SALES
       MOVE WA-SALES-AMOUNT  TO CALC-SALES
       MOVE 0 TO CALC-COMMISSION
       MOVE 'S' TO EMP-TYPE
       CALL 'CWKTSUBC' USING EMP-TYPE
                             CALC-SALES
                             CALC-COMMISSION
    ELSE
       MOVE 'UH-OH' TO REGION-COMMENT",403
39,37,473,IF,FULL,928,"IF VALID-REGION
        MOVE WA-EMP-NAME TO HOLD-NAME
        MOVE REGION-ID
                         TO HOLD-REGION
        MOVE WA-EMP-TYPE TO HOLD-TYPE
        MOVE WA-EMP-HIRE-DATE TO HOLD-HIRE-DATE
        MOVE YRS-OF-SERVICE TO HOLD-YEARS
        MOVE EMP-COMPENSATION
                         TO HOLD-TOTAL
        IF HOURLY
           DISPLAY 'IN HOURLY'
           MOVE EMP-WAGES TO HOLD-WAGES
           MOVE OT-AMOUNT TO HOLD-OT
           MOVE ZEROS     TO HOLD-COMM
           MOVE EMP-WAGES TO SALARY
           MOVE OT-AMOUNT TO OVERTIME
           MOVE ZEROS TO COMM
           DISPLAY 'WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH
           IF CURSOR-FETCHED
             DISPLAY 'HOURLY UPDATE-SWITCH 1= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           ELSE
             DISPLAY 'HOURLY UPDATE-SWITCH 2= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
          END-IF
        ELSE
           DISPLAY 'IN SALES '
           MOVE WA-SALES-SALARY
                          TO HOLD-WAGES
           MOVE CALC-COMMISSION
                          TO HOLD-COMM
           MOVE ZERO      TO HOLD-OT
           MOVE CALC-COMMISSION TO COMM
           MOVE WA-SALES-SALARY TO SALARY
           MOVE ZERO TO OVERTIME
           DISPLAY 'WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH
           IF CURSOR-OPEN OR CURSOR-FETCHED
             DISPLAY 'SALES UPDATE SWITCH= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           ELSE
             DISPLAY 'SECOND IN ELSE SALES '
             DISPLAY 'SALES UPDATE SWITCH= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           END-IF
        END-IF",429
40,53,661,IF,FULL,928,"IF SQLCODE = 100 THEN
          IF NOT DELETED THEN
             DISPLAY 'WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH
             MOVE WA-EMP-NUM TO EMP-NUM
             MOVE WA-EMP-HOURS TO HOURS
             MOVE WA-EMP-TYPE  TO WAGE-TYPE
             MOVE WA-EMP-HIRE-DATE TO HIREDATE
             DISPLAY 'EMP-NUM= '  EMP-NUM
             DISPLAY 'WAGE-TYPE= '  WAGE-TYPE
             DISPLAY 'WA-EMP-TYPE= '  WA-EMP-TYPE
             DISPLAY 'HIREDATE= '  HIREDATE
             MOVE WA-EMP-REGION TO REGION
DISPLAY ""EXEC_BLOCK_STUB""
                DISPLAY 'AFTER INSERT WS-CURSOR-SWITCH= '
                WS-CURSOR-SWITCH
                IF SQLCODE NOT EQUAL TO 0 THEN
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'ERROR ON INSERT - SQLCODE = '
                    WS-DISPLAY-SQLCODE
                ELSE
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'INSERT SUCCESSFUL-SQLCODE = '
                    WS-DISPLAY-SQLCODE
                END-IF
          END-IF
       END-IF",636
41,486,65,IF,FULL,1027,IF IDENT-SPEC THEN MOVE MSG-POINTER TO IDENT,65
42,38,473,IF,FULL,928,"IF HOURLY
           DISPLAY 'IN HOURLY'
           MOVE EMP-WAGES TO HOLD-WAGES
           MOVE OT-AMOUNT TO HOLD-OT
           MOVE ZEROS     TO HOLD-COMM
           MOVE EMP-WAGES TO SALARY
           MOVE OT-AMOUNT TO OVERTIME
           MOVE ZEROS TO COMM
           DISPLAY 'WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH
           IF CURSOR-FETCHED
             DISPLAY 'HOURLY UPDATE-SWITCH 1= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           ELSE
             DISPLAY 'HOURLY UPDATE-SWITCH 2= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
          END-IF
        ELSE
           DISPLAY 'IN SALES '
           MOVE WA-SALES-SALARY
                          TO HOLD-WAGES
           MOVE CALC-COMMISSION
                          TO HOLD-COMM
           MOVE ZERO      TO HOLD-OT
           MOVE CALC-COMMISSION TO COMM
           MOVE WA-SALES-SALARY TO SALARY
           MOVE ZERO TO OVERTIME
           DISPLAY 'WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH
           IF CURSOR-OPEN OR CURSOR-FETCHED
             DISPLAY 'SALES UPDATE SWITCH= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           ELSE
             DISPLAY 'SECOND IN ELSE SALES '
             DISPLAY 'SALES UPDATE SWITCH= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           END-IF
        END-IF",438
43,39,453,IF,FULL,928,"IF CURSOR-FETCHED
             DISPLAY 'HOURLY UPDATE-SWITCH 1= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           ELSE
             DISPLAY 'HOURLY UPDATE-SWITCH 2= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
          END-IF",447
44,40,472,IF,FULL,928,"IF CURSOR-OPEN OR CURSOR-FETCHED
             DISPLAY 'SALES UPDATE SWITCH= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           ELSE
             DISPLAY 'SECOND IN ELSE SALES '
             DISPLAY 'SALES UPDATE SWITCH= ' WS-CURSOR-SWITCH
DISPLAY ""EXEC_BLOCK_STUB""
           END-IF",465
45,41,493,IF,FULL,928,"IF NORTH
        ADD 1 TO NORTH-COUNT
        SET HOLD-IX TO NORTH-COUNT
    ELSE
        IF SOUTH
            ADD 1 TO SOUTH-COUNT
            SET HOLD-IX TO SOUTH-COUNT
        ELSE
            IF EAST
                ADD 1 TO EAST-COUNT
                SET HOLD-IX TO EAST-COUNT
            ELSE
                IF WEST
                    ADD 1 TO WEST-COUNT
                    SET HOLD-IX TO WEST-COUNT
                ELSE
                    MOVE 'Y' TO REGION-ERROR-SW",477
46,42,493,IF,FULL,928,"IF SOUTH
            ADD 1 TO SOUTH-COUNT
            SET HOLD-IX TO SOUTH-COUNT
        ELSE
            IF EAST
                ADD 1 TO EAST-COUNT
                SET HOLD-IX TO EAST-COUNT
            ELSE
                IF WEST
                    ADD 1 TO WEST-COUNT
                    SET HOLD-IX TO WEST-COUNT
                ELSE
                    MOVE 'Y' TO REGION-ERROR-SW",481
47,43,493,IF,FULL,928,"IF EAST
                ADD 1 TO EAST-COUNT
                SET HOLD-IX TO EAST-COUNT
            ELSE
                IF WEST
                    ADD 1 TO WEST-COUNT
                    SET HOLD-IX TO WEST-COUNT
                ELSE
                    MOVE 'Y' TO REGION-ERROR-SW",485
48,44,493,IF,FULL,928,"IF WEST
                    ADD 1 TO WEST-COUNT
                    SET HOLD-IX TO WEST-COUNT
                ELSE
                    MOVE 'Y' TO REGION-ERROR-SW",489
49,45,495,IF,FULL,928,"IF VALID-REGION
        SET REG-IX TO WA-EMP-REGION",494
50,46,520,IF,FULL,928,"IF EMP-LINE-COUNT GREATER THAN 55
          PERFORM 6200-PRINT-EMPLOYEE-HEADERS",519
51,47,558,IF,FULL,928,"IF REG-LINE-COUNT GREATER THAN 55
        PERFORM 7100-PRINT-REGION-HEADERS",557
52,48,579,IF,FULL,928,"IF REGION-SUB = 4
       WRITE REPORT-RECORD FROM BLANK-LINE
       MOVE GRAND-TOTAL-MGMT TO MGMT-GRAND-TOTAL
       WRITE REPORT-RECORD FROM MGMT-TOTAL-DTL",576
53,49,618,IF,FULL,928,"IF EOF-SW NOT EQUAL TO 'Y' THEN
DISPLAY ""EXEC_BLOCK_STUB""
       IF SQLCODE NOT EQUAL TO 0 THEN
          MOVE ' ' TO WS-CURSOR-SWITCH
          MOVE SQLCODE TO WS-DISPLAY-SQLCODE
          DISPLAY 'ERROR ON OPEN CURSOR - SQLCODE = '
          WS-DISPLAY-SQLCODE
       ELSE
          MOVE 'O' TO WS-CURSOR-SWITCH
       END-IF
    END-IF",608
54,50,617,IF,FULL,928,"IF SQLCODE NOT EQUAL TO 0 THEN
          MOVE ' ' TO WS-CURSOR-SWITCH
          MOVE SQLCODE TO WS-DISPLAY-SQLCODE
          DISPLAY 'ERROR ON OPEN CURSOR - SQLCODE = '
          WS-DISPLAY-SQLCODE
       ELSE
          MOVE 'O' TO WS-CURSOR-SWITCH
       END-IF",610
55,51,663,IF,FULL,928,"IF EOF-SW NOT EQUAL TO 'Y' THEN
DISPLAY ""EXEC_BLOCK_STUB""
       MOVE SQLCODE TO WS-DISPLAY-SQLCODE
       DISPLAY 'SQLCODE ON FETCH - SQLCODE = '
          WS-DISPLAY-SQLCODE
       IF SQLCODE = 0 THEN
          MOVE 'F' TO WS-CURSOR-SWITCH
          MOVE EMP-NUM TO WA-EMP-NUM
          MOVE WAGE-TYPE  TO WA-EMP-TYPE
          MOVE REGION TO WA-EMP-REGION
          MOVE HOURS TO WA-EMP-HOURS
          MOVE STATE TO WA-EMP-STATE
          MOVE ZIP   TO WA-EMP-ZIP
          MOVE HOURS TO WA-EMP-HOURS
          MOVE SALARY TO WA-EMP-RATE
          MOVE HIREDATE TO WA-EMP-HIRE-DATE
       END-IF
       IF SQLCODE = 100 THEN
          IF NOT DELETED THEN
             DISPLAY 'WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH
             MOVE WA-EMP-NUM TO EMP-NUM
             MOVE WA-EMP-HOURS TO HOURS
             MOVE WA-EMP-TYPE  TO WAGE-TYPE
             MOVE WA-EMP-HIRE-DATE TO HIREDATE
             DISPLAY 'EMP-NUM= '  EMP-NUM
             DISPLAY 'WAGE-TYPE= '  WAGE-TYPE
             DISPLAY 'WA-EMP-TYPE= '  WA-EMP-TYPE
             DISPLAY 'HIREDATE= '  HIREDATE
             MOVE WA-EMP-REGION TO REGION
DISPLAY ""EXEC_BLOCK_STUB""
                DISPLAY 'AFTER INSERT WS-CURSOR-SWITCH= '
                WS-CURSOR-SWITCH
                IF SQLCODE NOT EQUAL TO 0 THEN
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'ERROR ON INSERT - SQLCODE = '
                    WS-DISPLAY-SQLCODE
                ELSE
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'INSERT SUCCESSFUL-SQLCODE = '
                    WS-DISPLAY-SQLCODE
                END-IF
          END-IF
       END-IF
       ADD 1 TO RECORDS-READ
    END-IF",619
56,52,635,IF,FULL,928,"IF SQLCODE = 0 THEN
          MOVE 'F' TO WS-CURSOR-SWITCH
          MOVE EMP-NUM TO WA-EMP-NUM
          MOVE WAGE-TYPE  TO WA-EMP-TYPE
          MOVE REGION TO WA-EMP-REGION
          MOVE HOURS TO WA-EMP-HOURS
          MOVE STATE TO WA-EMP-STATE
          MOVE ZIP   TO WA-EMP-ZIP
          MOVE HOURS TO WA-EMP-HOURS
          MOVE SALARY TO WA-EMP-RATE
          MOVE HIREDATE TO WA-EMP-HIRE-DATE
       END-IF",624
57,82,352,IF,FULL,933,"IF HOURLY
           MOVE EMP-WAGES TO HOLD-WAGES
           MOVE OT-AMOUNT TO HOLD-OT
           MOVE ZEROS     TO HOLD-COMM
        ELSE
           MOVE WA-SALES-SALARY
                          TO HOLD-WAGES
           MOVE CALC-COMMISSION
                          TO HOLD-COMM
           MOVE ZERO      TO HOLD-OT",343
58,83,371,IF,FULL,933,"IF NORTH
        ADD 1 TO NORTH-COUNT
        SET HOLD-IX TO NORTH-COUNT
    ELSE
        IF SOUTH
            ADD 1 TO SOUTH-COUNT
            SET HOLD-IX TO SOUTH-COUNT
        ELSE
            IF EAST
                ADD 1 TO EAST-COUNT
                SET HOLD-IX TO EAST-COUNT
            ELSE
                IF WEST
                    ADD 1 TO WEST-COUNT
                    SET HOLD-IX TO WEST-COUNT
                ELSE
                    MOVE 'Y' TO REGION-ERROR-SW",355
59,54,660,IF,FULL,928,"IF NOT DELETED THEN
             DISPLAY 'WS-CURSOR-SWITCH= ' WS-CURSOR-SWITCH
             MOVE WA-EMP-NUM TO EMP-NUM
             MOVE WA-EMP-HOURS TO HOURS
             MOVE WA-EMP-TYPE  TO WAGE-TYPE
             MOVE WA-EMP-HIRE-DATE TO HIREDATE
             DISPLAY 'EMP-NUM= '  EMP-NUM
             DISPLAY 'WAGE-TYPE= '  WAGE-TYPE
             DISPLAY 'WA-EMP-TYPE= '  WA-EMP-TYPE
             DISPLAY 'HIREDATE= '  HIREDATE
             MOVE WA-EMP-REGION TO REGION
DISPLAY ""EXEC_BLOCK_STUB""
                DISPLAY 'AFTER INSERT WS-CURSOR-SWITCH= '
                WS-CURSOR-SWITCH
                IF SQLCODE NOT EQUAL TO 0 THEN
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'ERROR ON INSERT - SQLCODE = '
                    WS-DISPLAY-SQLCODE
                ELSE
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'INSERT SUCCESSFUL-SQLCODE = '
                    WS-DISPLAY-SQLCODE
                END-IF
          END-IF",637
60,55,659,IF,FULL,928,"IF SQLCODE NOT EQUAL TO 0 THEN
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'ERROR ON INSERT - SQLCODE = '
                    WS-DISPLAY-SQLCODE
                ELSE
                    MOVE SQLCODE TO WS-DISPLAY-SQLCODE
                    DISPLAY 'INSERT SUCCESSFUL-SQLCODE = '
                    WS-DISPLAY-SQLCODE
                END-IF",651
61,56,676,IF,FULL,928,"IF SQLCODE NOT EQUAL TO 0
      MOVE SQLCODE TO WS-DISPLAY-SQLCODE
       DISPLAY 'ERROR ON SELECT COUNT - SQLCODE = '
       WS-DISPLAY-SQLCODE
    END-IF",672
62,57,689,IF,FULL,928,"IF PARM-LTH = 5
        IF PARM-DATA IS NUMERIC
            MOVE PARM-DATA TO START-NUMBER
        ELSE
            PERFORM 9800-BAD-PARM
    ELSE
        IF PARM-LTH = 0
            MOVE 1 TO START-NUMBER
        ELSE
            PERFORM 9800-BAD-PARM",680
63,58,684,IF,FULL,928,"IF PARM-DATA IS NUMERIC
            MOVE PARM-DATA TO START-NUMBER
        ELSE
            PERFORM 9800-BAD-PARM",681
64,59,689,IF,FULL,928,"IF PARM-LTH = 0
            MOVE 1 TO START-NUMBER
        ELSE
            PERFORM 9800-BAD-PARM",686
65,60,726,IF,FULL,928,"IF RETURN-CODE = ZERO
            PERFORM ERROR-PRINT VARYING ERROR-INDEX
               FROM 1 BY 1 UNTIL ERROR-INDEX GREATER THAN 10",724
